from,to,weight
you,gotta,1.0
gotta,believe,1.0
some,readers,1.0
readers,may,1.0
may,be,1.0
be,wondering,1.0
wondering,why,1.0
why,the,1.0
the,picture,1.0
picture,we,1.0
we,used,1.0
used,on,1.0
on,the,1.0
the,cover,1.0
cover,of,1.0
of,this,1.0
this,book,1.0
book,is,1.0
is,so,1.0
so,angry,1.0
angry,and,1.0
and,so,1.0
so,mean,1.0
mean,looking,1.0
looking,i,1.0
i,had,1.0
had,some,1.0
some,beautiful,1.0
beautiful,pictures,1.0
pictures,taken,1.0
taken,in,1.0
in,which,1.0
which,i,1.0
i,had,1.0
had,a,1.0
a,big,1.0
big,smile,1.0
smile,on,1.0
on,my,1.0
my,face,1.0
face,i,1.0
i,looked,1.0
looked,happy,1.0
happy,i,1.0
i,looked,1.0
looked,content,1.0
content,i,1.0
i,looked,1.0
looked,like,1.0
like,a,1.0
a,very,1.0
very,nice,1.0
nice,person,1.0
person,which,1.0
which,in,1.0
in,theory,1.0
theory,i,1.0
i,am,1.0
am,my,1.0
my,family,1.0
family,loved,1.0
loved,those,1.0
those,pictures,1.0
pictures,and,1.0
and,wanted,1.0
wanted,me,1.0
me,to,1.0
to,use,1.0
use,one,1.0
one,of,1.0
of,them,1.0
them,the,1.0
the,photographer,1.0
photographer,did,1.0
did,a,1.0
a,great,1.0
great,job,1.0
job,but,1.0
but,i,1.0
i,decided,1.0
decided,it,1.0
it,wasnt,1.0
wasnt,appropriate,1.0
appropriate,in,1.0
in,this,1.0
this,book,1.0
book,were,1.0
were,talking,1.0
talking,about,1.0
about,crippled,1.0
crippled,americathats,1.0
americathats,a,1.0
a,tough,1.0
tough,title,1.0
title,unfortunately,1.0
unfortunately,theres,1.0
theres,very,1.0
very,little,1.0
little,thats,1.0
thats,nice,1.0
nice,about,1.0
about,it,1.0
it,hence,1.0
hence,the,1.0
the,picture,1.0
picture,on,1.0
on,the,1.0
the,cover,1.0
so,i,1.0
i,wanted,1.0
wanted,a,1.0
a,picture,1.0
picture,where,1.0
where,i,1.0
i,wasnt,1.0
wasnt,happy,1.0
happy,a,1.0
a,picture,1.0
picture,that,1.0
that,reflected,1.0
reflected,the,1.0
the,anger,1.0
anger,and,1.0
and,unhappiness,1.0
unhappiness,that,1.0
that,i,1.0
i,feel,1.0
feel,rather,1.0
rather,than,1.0
than,joy,1.0
joy,theres,1.0
theres,nothing,1.0
nothing,to,1.0
to,be,1.0
be,joyful,1.0
joyful,about,1.0
about,because,1.0
because,we,1.0
we,are,1.0
are,not,1.0
not,in,1.0
in,a,1.0
a,joyous,1.0
joyous,situation,1.0
situation,right,1.0
right,now,1.0
now,were,1.0
