Source,Target,Weight
you,gotta,1

gotta,believe,1

some,readers,1

readers,may,1

may,be,1

be,wondering,1

wondering,why,1

why,the,1

the,picture,1

picture,we,1

we,used,1

used,on,1

on,the,1

the,cover,1

cover,of,1

of,this,1

this,book,1

book,is,1

is,so,1

so,angry,1

angry,and,1

and,so,1

so,mean,1

mean,looking,1

looking,i,1

i,had,1

had,some,1

some,beautiful,1

beautiful,pictures,1

pictures,taken,1

taken,in,1

in,which,1

which,i,1

i,had,1

had,a,1

a,big,1

big,smile,1

smile,on,1

on,my,1

my,face,1

face,i,1

i,looked,1

looked,happy,1

happy,i,1

i,looked,1

looked,content,1

content,i,1

i,looked,1

looked,like,1

like,a,1

a,very,1

very,nice,1

nice,person,1

person,which,1

which,in,1

in,theory,1

theory,i,1

i,am,1

am,my,1

my,family,1

family,loved,1

loved,those,1

those,pictures,1

pictures,and,1

and,wanted,1

wanted,me,1

me,to,1

to,use,1

use,one,1

one,of,1

of,them,1

them,the,1

the,photographer,1

photographer,did,1

did,a,1

a,great,1

great,job,1

job,but,1

but,i,1

i,decided,1

decided,it,1

it,wasnt,1

wasnt,appropriate,1

appropriate,in,1

in,this,1

this,book,1

book,were,1

were,talking,1

talking,about,1

about,crippled,1

crippled,americathats,1

americathats,a,1

a,tough,1

tough,title,1

title,unfortunately,1

unfortunately,theres,1

theres,very,1

very,little,1

little,thats,1

thats,nice,1

nice,about,1

about,it,1

it,hence,1

hence,the,1

the,picture,1

picture,on,1

on,the,1

the,cover,1

so,i,1

i,wanted,1

wanted,a,1

a,picture,1

picture,where,1

where,i,1

i,wasnt,1

wasnt,happy,1

happy,a,1

a,picture,1

picture,that,1

that,reflected,1

reflected,the,1

the,anger,1

anger,and,1

and,unhappiness,1

unhappiness,that,1

that,i,1

i,feel,1

feel,rather,1

rather,than,1

than,joy,1

joy,theres,1

theres,nothing,1

nothing,to,1

to,be,1

be,joyful,1

joyful,about,1

about,because,1

because,we,1

we,are,1

are,not,1

not,in,1

in,a,1

a,joyous,1

joyous,situation,1

situation,right,1

right,now,1

now,were,1

were,in,1

in,a,1

a,situation,1

situation,where,1

where,we,1

we,have,1

have,to,1

to,go,1

go,back,1

back,to,1

to,work,1

work,to,1

to,make,1

make,america,1

america,great,1

great,again,1

again,all,1

all,of,1

of,us,1

us,thats,1

thats,why,1

why,ive,1

ive,written,1

written,this,1

this,book,1

book,people,1

people,say,1

say,that,1

that,i,1

i,have,1

have,self,1

self,confidence,1

confidence,who,1

who,knows,1

knows,when,1

when,i,1

i,began,1

began,speaking,1

speaking,out,1

out,i,1

i,was,1

was,a,1

a,realist,1

realist,i,1

i,knew,1

knew,the,1

the,relentless,1

relentless,and,1

and,incompetent,1

incompetent,naysayers,1

naysayers,of,1

of,the,1

the,status,1

status,quo,1

quo,would,1

would,anxiously,1

anxiously,line,1

line,up,1

up,against,1

against,me,1

me,and,1

and,they,1

they,have,1

the,politicians,1

politicians,who,1

who,talk,1

talk,a,1

a,great,1

great,game,1

game,in,1

in,campaignsand,1

campaignsand,play,1

play,like,1

like,total,1

total,losers,1

losers,when,1

when,they,1

they,try,1

try,to,1

to,actually,1

actually,govern,1

govern,because,1

because,they,1

they,cant,1

cant,govern,1

govern,they,1

they,dont,1

dont,know,1

know,how,1

how,to,1

to,govern,1

the,lobbyists,1

lobbyists,and,1

and,special,1

special,interests,1

interests,with,1

with,their,1

their,hands,1

hands,in,1

in,our,1

our,pockets,1

pockets,on,1

on,behalf,1

behalf,of,1

of,their,1

their,clients,1

clients,or,1

or,others,1

the,members,1

members,of,1

of,the,1

the,media,1

media,who,1

who,are,1

are,so,1

so,far,1

far,lost,1

lost,when,1

when,it,1

it,comes,1

comes,to,1

to,being,1

being,fair,1

fair,that,1

that,they,1

they,have,1

have,no,1

no,concept,1

concept,of,1

of,the,1

the,difference,1

difference,between,1

between,fact,1

fact,and,1

and,opinion,1

the,illegal,1

illegal,immigrants,1

immigrants,who,1

who,have,1

have,taken,1

taken,jobs,1

jobs,that,1

that,should,1

should,go,1

go,to,1

to,people,1

people,here,1

here,legally,1

legally,while,1

while,over,1

over,percent,1

percent,of,1

of,americans,1

americans,are,1

are,currently,1

currently,unemployed,1

unemployed,or,1

or,underemployed,1

underemployed,believe,1

believe,me,1

me,theyre,1

theyre,all,1

all,over,1

over,the,1

the,place,1

place,i,1

i,see,1

see,them,1

them,i,1

i,talk,1

talk,to,1

to,them,1

them,i,1

i,hug,1

hug,them,1

them,i,1

i,hold,1

hold,them,1

them,they,1

they,are,1

are,all,1

all,over,1

over,the,1

the,place,1

congress,which,1

which,has,1

has,been,1

been,deadlocked,1

deadlocked,for,1

for,years,1

years,and,1

and,virtually,1

virtually,unable,1

unable,to,1

to,deal,1

deal,with,1

with,any,1

any,of,1

of,our,1

our,most,1

most,pressing,1

pressing,domestic,1

domestic,problems,1

problems,or,1

or,even,1

even,the,1

the,most,1

most,basic,1

basic,ones,1

ones,such,1

such,as,1

as,passing,1

passing,a,1

a,budget,1

budget,think,1

think,of,1

of,it,1

it,a,1

a,little,1

little,thing,1

thing,like,1

like,passing,1

passing,the,1

the,budget,1

budget,they,1

they,dont,1

dont,even,1

even,have,1

have,a,1

a,clue,1

meanwhile,the,1

the,bedrock,1

bedrock,of,1

of,this,1

this,countrythe,1

countrythe,middle,1

middle,classand,1

classand,those,1

those,million,1

million,americans,1

americans,stuck,1

stuck,in,1

in,poverty,1

poverty,have,1

have,seen,1

seen,their,1

their,incomes,1

incomes,decline,1

decline,over,1

over,the,1

the,past,1

past,years,1

years,understandably,1

understandably,their,1

their,disenchantment,1

disenchantment,and,1

and,frustration,1

frustration,at,1

at,whats,1

whats,happening,1

happening,grows,1

grows,every,1

every,day,1

day,and,1

and,it,1

it,gets,1

gets,worse,1

worse,and,1

and,worse,1

worse,and,1

and,worse,1

and,even,1

even,our,1

our,lawyers,1

lawyers,and,1

and,judges,1

judges,the,1

the,reflective,1

reflective,wise,1

wise,men,1

have,been,1

been,stepping,1

stepping,all,1

all,over,1

over,the,1

the,us,1

us,constitution,1

constitution,the,1

the,bulwark,1

bulwark,of,1

of,our,1

our,democracy,1

democracy,they,1

they,have,1

have,recklessly,1

recklessly,appointed,1

appointed,themselves,1

themselves,to,1

to,be,1

be,policy,1

policy,makers,1

makers,because,1

because,our,1

our,actual,1

actual,elected,1

elected,officials,1

officials,are,1

are,paralyzed,1

paralyzed,by,1

by,partisanship,1

partisanship,they,1

they,cant,1

cant,move,1

move,they,1

they,cant,1

cant,act,1

act,they,1

they,are,1

are,totally,1

totally,impotent,1

as,for,1

for,the,1

the,presidency,1

presidency,and,1

and,the,1

the,executive,1

executive,branch,1

branch,the,1

the,incompetence,1

incompetence,is,1

is,beyond,1

beyond,belief,1

as,i,1

i,write,1

write,this,1

this,russian,1

russian,president,1

president,vladimir,1

vladimir,putin,1

putin,is,1

is,totally,1

totally,outmaneuvering,1

outmaneuvering,our,1

our,president,1

president,by,1

by,putting,1

putting,together,1

together,a,1

a,coalition,1

coalition,in,1

in,syria,1

syria,that,1

that,will,1

will,make,1

make,putin,1

putin,the,1

the,only,1

only,effective,1

effective,leader,1

leader,in,1

in,the,1

the,world,1

world,he,1

he,and,1

and,his,1

his,alliesmost,1

alliesmost,notably,1

notably,iranhave,1

iranhave,positioned,1

positioned,themselves,1

themselves,exactly,1

exactly,where,1

where,president,1

president,obama,1

obama,and,1

and,our,1

our,military,1

military,have,1

have,failed,1

failed,miserably,1

miserably,for,1

for,years,1

years,they,1

they,are,1

are,total,1

total,failures,1

failures,they,1

they,are,1

are,not,1

not,leaders,1

leaders,we,1

we,are,1

are,no,1

no,longer,1

longer,a,1

a,leader,1

leader,putin,1

putin,has,1

has,become,1

become,the,1

the,leader,1

leader,and,1

and,its,1

its,an,1

an,embarrassment,1

embarrassment,to,1

to,our,1

our,country,1

weve,wasted,1

wasted,literally,1

literally,trillions,1

trillions,of,1

of,dollars,1

dollars,in,1

in,the,1

the,middle,1

middle,east,1

east,with,1

with,virtually,1

virtually,nothing,1

nothing,to,1

to,show,1

show,for,1

for,it,1

it,except,1

except,for,1

for,alienating,1

alienating,our,1

our,best,1

best,ally,1

ally,israel,1

israel,to,1

to,make,1

make,matters,1

matters,worse,1

worse,weve,1

weve,negotiated,1

negotiated,a,1

a,worthless,1

worthless,and,1

and,costly,1

costly,nuclear,1

nuclear,treaty,1

treaty,with,1

with,iran,1

iran,now,1

now,russias,1

russias,best,1

best,friend,1

friend,on,1

on,the,1

the,supposition,1

supposition,that,1

that,it,1

it,will,1

will,lead,1

lead,to,1

to,greater,1

greater,harmony,1

harmony,and,1

and,world,1

world,peace,1

peace,which,1

which,it,1

it,wont,1

wont,it,1

it,will,1

will,lead,1

lead,to,1

to,just,1

just,the,1

the,opposite,1

the,idea,1

idea,of,1

of,american,1

american,greatness,1

greatness,of,1

of,our,1

our,country,1

country,as,1

as,the,1

the,leader,1

leader,of,1

of,the,1

the,free,1

free,and,1

and,unfree,1

unfree,world,1

world,has,1

has,vanished,1

despite,all,1

all,of,1

of,these,1

these,challengesand,1

challengesand,actually,1

actually,because,1

because,of,1

of,the,1

the,challengesi,1

challengesi,decided,1

decided,to,1

to,do,1

do,something,1

something,about,1

about,it,1

it,i,1

i,couldnt,1

couldnt,stand,1

stand,to,1

to,see,1

see,what,1

what,was,1

was,happening,1

happening,to,1

to,our,1

our,great,1

great,country,1

country,this,1

this,mess,1

mess,calls,1

calls,for,1

for,leadership,1

leadership,in,1

in,the,1

the,worst,1

worst,way,1

way,it,1

it,needs,1

needs,someone,1

someone,with,1

with,common,1

common,sense,1

sense,and,1

and,business,1

business,acumen,1

acumen,someone,1

someone,who,1

who,can,1

can,truly,1

truly,lead,1

lead,america,1

